promise_id,promise_text,topic,keywords,status,progress_score,evidence_summary,last_checked,has_parliamentary_bill,has_enacted_legislation,parliamentary_evidence_count,parliamentary_status,title,url,source_type,date_published,evidence_text,suggested_status,collected_at,evidence_id,relevance_score,checked_by_human,search_query,is_relevant,review_note,manual_description,normalized_url,global_source_key,is_duplicate_global_source
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,Net additional dwellings,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,Statistics,2024-2025,Annual housing supply in England amounted to 208600 net additional dwellings in 2024-25.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,https://www.gov.uk/government/statistics/housing-supply-net-additional-dwellings-england-2024-to-2025/housing-supply-net-additional-dwellings-england-2024-to-2025,False
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,Housebuilding starts and completions,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,Statistics,Quarterly dataset,ONS dataset bringing together quarterly UK totals for newly built dwellings started and completed.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/datasets/ukhousebuildingpermanentdwellingsstartedandcompleted,False
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,Planning reform and housing target,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,Government policy,2024,Government announcement on planning reform connected to the target of delivering 1.5 million homes.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,False
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,House building starts and completions,https://www.gov.uk/government/statistical-data-sets/live-tables-on-house-building,Statistics,Quarterly and annual tables,"Government live tables on house building, including permanent dwellings started and completed.",in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/statistical-data-sets/live-tables-on-house-building,https://www.gov.uk/government/statistical-data-sets/live-tables-on-house-building,False
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,ONS search results for: 1.5 million new homes housebuilding housing supply,https://www.ons.gov.uk/search?q=1.5+million+new+homes+housebuilding+housing+supply,ONS Search,Not available,"Search link for related ONS housing statistics and datasets. This source is useful for tracking measurable outcomes such as housing supply, rents, prices, and homelessness indicators.",needs review,2026-06-10,E0083,50,no,1.5 million new homes housebuilding housing supply,maybe,Official search link retained for manual checking.,,https://www.ons.gov.uk/search,https://www.ons.gov.uk/search,False
H01,Build 1.5 million new homes within the 2024-2029 parliament.,Housing supply,1.5 million new homes; housebuilding; housing supply; new homes; planning reform,in progress,50,No parliamentary evidence has been found yet. This promise needs to be tracked through housing delivery statistics and government policy updates.,2026-06-10,False,False,0,No Evidence,Legislation.gov.uk search results for: 1.5 million new homes housebuilding housing supply,https://www.legislation.gov.uk/all?title=1.5+million+new+homes+housebuilding+housing+supply,Legislation.gov.uk Search,Not available,Search link for enacted UK legislation related to this promise. This source helps check whether a policy promise has moved from proposal or bill stage into formal law.,needs review,2026-06-10,E0084,50,no,1.5 million new homes housebuilding housing supply,maybe,Official search link retained for manual checking.,,https://www.legislation.gov.uk/all,https://www.legislation.gov.uk/all,False
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,National Planning Policy Framework (Community Involvement) Bill,https://bills.parliament.uk/bills/1370,Parliamentary Bill,Not available,The National Planning Policy Framework sets out the government planning policies for England and is relevant to housing targets and planning reform.,in progress,2026-06-10,,40,,,yes,Directly relevant to NPPF and mandatory housing targets.,The National Planning Policy Framework sets out the government planning policies for England and is relevant to housing targets and planning reform.,https://bills.parliament.uk/bills/1370,https://bills.parliament.uk/bills/1370,False
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,Planning and Infrastructure Act 2025,https://bills.parliament.uk/bills/3946,Act of Parliament,2026-02-19,"Official legislation related to planning reform, infrastructure, NPPF updates, compulsory purchase reform, and development corporations.",implemented,2026-06-10,,40,,,yes,Directly relevant to planning reform and planning system changes.,"Official legislation related to planning reform, infrastructure, NPPF updates, compulsory purchase reform, and development corporations.",https://bills.parliament.uk/bills/3946,https://bills.parliament.uk/bills/3946,False
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,Planning reform and housing target,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,Government policy,2024,Government announcement on planning reform connected to the target of delivering 1.5 million homes.,in progress,2026-06-10,,40,,,maybe,"Unknown source type, needs human review.",,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,https://www.gov.uk/government/news/planning-overhaul-to-reach-15-million-new-homes,True
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,Planning reform,mandatory housing targets; NPPF; National Planning Policy Framework; local housing targets; housebuilding targets,implemented,100,Parliamentary evidence indicates that this promise has been enacted through updates to the planning framework.,2026-06-10,False,True,1,Enacted,Planning policy framework,https://www.gov.uk/government/publications/national-planning-policy-framework--2,Government policy,2024-2025,The National Planning Policy Framework sets out the government planning policies for England and is relevant to housing targets and planning reform.,in progress,2026-06-10,,40,,,yes,Directly relevant to NPPF and mandatory housing targets.,The National Planning Policy Framework sets out the government planning policies for England and is relevant to housing targets and planning reform.,https://www.gov.uk/government/publications/national-planning-policy-framework--2,https://www.gov.uk/government/publications/national-planning-policy-framework--2,False
