promise_id,original_promise,simplified_promise,category,keywords,measurable_outcome,possible_evidence_sources
H01,"Labour will get Britain building again, creating jobs across England, with 1.5 million new homes over the next parliament.",Build 1.5 million new homes within the 2024_2029 parliament.,housing supply,"1.5 million homes, housebuilding, new homes, housing target, housing completions",Annual net housing completions in England reaching cumulative total of 1.5 million by 2029,MHCLG Housing Supply Statistics; ONS Housing Statistics; UK Parliament Bills API (Planning and Infrastructure Bill)
H02,"We will immediately update the National Policy Planning Framework to undo damaging Conservative changes, including restoring mandatory housing targets.",Restore mandatory local housing targets by updating the NPPF immediately after taking office.,planning reform,"National Planning Policy Framework, NPPF, mandatory housing targets, local plans, planning reform",Publication of revised NPPF; reinstatement of mandatory housing targets in local authority plans,MHCLG policy publications; legislation.gov.uk; UK Parliament Written Statements; gov.uk planning policy guidance
H03,Labour will take tough action to ensure that planning authorities have up-to-date Local Plans and reform and strengthen the presumption in favour of sustainable development.,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,planning reform,"Local Plans, planning authorities, presumption in favour of sustainable development, planning reform, local planning","Number of local authorities with adopted, up-to-date Local Plans; use of presumption in favour of development",MHCLG Local Plans monitoring data; Planning Portal; UK Parliament Bills API; gov.uk planning statistics
H04,"Labour will support local authorities by funding additional planning officers, through increasing the rate of the stamp duty surcharge paid by non-UK residents.","Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",planning reform,"planning officers, local authority capacity, stamp duty surcharge, non-UK residents, planning resources",Number of new planning officer posts funded; change in stamp duty surcharge rate for non-UK residents,HMRC Stamp Duty Land Tax statistics; MHCLG budget documents; HM Treasury Autumn Statement/Budget documents; Local Government Association data
H05,"Labour will take a brownfield first approach, prioritising the development of previously used land wherever possible, and fast-tracking approval of urban brownfield sites.",Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,planning reform,"brownfield, previously developed land, brownfield register, fast-track approval, urban regeneration",Proportion of new homes built on brownfield land annually; speed of planning decisions on brownfield sites,MHCLG Brownfield Land Register data; ONS Land Use Statistics; UK Parliament Bills API (Planning and Infrastructure Bill); MHCLG planning decision statistics
H06,"Without changing its purpose or general extent, Labour will take a more strategic approach to greenbelt land designation and release to build more homes in the right places. The release of lower quality 'grey belt' land will be prioritised and we will introduce 'golden rules' to ensure development benefits communities and nature.",Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,planning reform,"grey belt, green belt, golden rules, greenbelt release, land designation, planning policy",Publication of grey belt definition in revised NPPF; number of grey belt sites approved; application of golden rules in planning decisions,MHCLG NPPF documentation; planning appeal decisions on legislation.gov.uk; UK Parliament Hansard debates; Planning Inspector decision letters
H07,Labour will deliver the biggest increase in social and affordable housebuilding in a generation. We will strengthen planning obligations to provide more affordable homes; make changes to the Affordable Homes Programme to ensure that it delivers more homes from existing funding; and support councils and housing associations to build their capacity and make a greater contribution to affordable housing supply.,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,affordable housing,"affordable housing, social housing, Affordable Homes Programme, Section 106, planning obligations, housing associations, councils",Annual number of affordable homes delivered; proportion of new homes that are affordable; Homes England programme delivery data,Homes England Affordable Homes Programme statistics; MHCLG affordable housing supply data; UK Parliament Bills API; Budget/Spending Review documents
H08,Labour will prioritise the building of new social rented homes and better protect our existing stock by reviewing the increased right to buy discounts introduced in 2012 and increasing protections on newly-built social housing.,Prioritise new social rented homes and review Right to Buy discounts to protect social housing stock.,social housing,"social rented homes, Right to Buy, council housing, social housing stock, housing associations, right to buy discounts",Number of new social rented homes built annually; changes to Right to Buy discount levels; net social housing stock change,MHCLG Social Housing Supply Statistics; Shelter/National Housing Federation reports; legislation.gov.uk (Housing Act amendments); Hansard
H09,Labour will work with local authorities to give first-time buyers the first chance to buy homes and end the farce of entire developments being sold off to international investors before houses are even built.,Give first-time buyers priority access to new housing developments and restrict bulk sales of new homes to international investors.,first-time buyers,"first-time buyers, priority purchase, international investors, bulk sales, new homes, overseas buyers",Legislation or planning policy restricting pre-sale to overseas investors; monitoring share of new homes sold to first-time buyers,UK Parliament Bills API; legislation.gov.uk; HMRC Stamp Duty data by buyer type; MHCLG housing policy documents
H10,"We will introduce a permanent, comprehensive mortgage guarantee scheme, to support first-time buyers who struggle to save for a large deposit, with lower mortgage costs.",Launch a permanent mortgage guarantee scheme for first-time buyers with small deposits.,first-time buyers,"mortgage guarantee, first-time buyers, deposit, Help to Buy, mortgage scheme, low deposit",Launch and terms of scheme; number of mortgages guaranteed annually; average deposit size for participating buyers,HM Treasury Budget/Spending Review documents; UK Finance mortgage data; gov.uk housing schemes page; ONS House Price Index
H11,"Labour will immediately abolish Section 21 'no fault' evictions, prevent private renters being exploited and discriminated against, empower them to challenge unreasonable rent increases, and take steps to decisively raise standards, including extending 'Awaab's Law' to the private sector.",Abolish Section 21 no-fault evictions and extend Awaab's Law to the private rented sector.,rent reform,"Section 21, no-fault evictions, private rented sector, renters rights, Awaab's Law, rent increases, discrimination, tenancy reform",Royal Assent of Renters' Rights Bill abolishing Section 21; commencement date of abolition; number of Section 21 notices served post-legislation,UK Parliament Bills API (Renters' Rights Bill); legislation.gov.uk; MHCLG Rents statistics; Ministry of Justice landlord possession statistics
