promise_id,simplified_promise,has_parliamentary_bill,has_enacted_legislation,parliamentary_evidence_count,parliamentary_status
H01,Build 1.5 million new homes within the 2024_2029 parliament.,False,False,0,No Evidence
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,False,True,1,Enacted
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,False,True,1,Enacted
H04,"Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",False,False,0,No Evidence
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,False,True,1,Enacted
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,False,True,1,Enacted
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,False,False,0,No Evidence
H08,Prioritise new social rented homes and review Right to Buy discounts to protect social housing stock.,False,False,0,No Evidence
H09,Give first-time buyers priority access to new housing developments and restrict bulk sales of new homes to international investors.,False,False,0,No Evidence
H10,Launch a permanent mortgage guarantee scheme for first-time buyers with small deposits.,False,False,0,No Evidence
H11,Abolish Section 21 no-fault evictions and extend Awaab's Law to the private rented sector.,False,True,1,Enacted
H12,Give renters a legal right to challenge unreasonable rent increases.,False,True,1,Enacted
H13,Enact Law Commission leasehold reforms; ban new leasehold flats and make commonhold the default tenure.,False,True,1,Enacted
H14,Cap or ban unaffordable ground rents and end unfair 'fleecehold' maintenance charges on private estates.,True,True,2,Enacted
H15,Develop a cross-government homelessness strategy with Mayors and Councils to end homelessness.,False,False,0,No Evidence
H16,"Accelerate cladding remediation and ensure building safety costs fall on developers, not leaseholders.",False,False,0,No Evidence
H17,Require Combined and Mayoral Authorities to produce strategic housing growth plans and give them new planning powers.,False,True,1,Enacted
H18,"Reform compulsory purchase rules so landowners receive fair value, not inflated hope value, enabling faster land assembly for housing.",False,True,1,Enacted
