promise_id,promise_text,current_status,current_progress_score,suggested_status,suggested_progress_score,evidence_count,auto_summary,last_auto_checked
H01,Build 1.5 million new homes within the 2024-2029 parliament.,not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H02,Restore mandatory local housing targets by updating the NPPF immediately after taking office.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H03,Require all planning authorities to maintain up-to-date Local Plans; strengthen the presumption in favour of development.,implemented,100,implemented,100,8,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H04,"Fund additional planning officers in local authorities, financed through a higher stamp duty surcharge on non-UK resident buyers.",not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H05,Introduce a brownfield-first planning approach and fast-track approvals for urban brownfield sites.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H06,Introduce 'grey belt' land category within the Green Belt and apply 'golden rules' to ensure community and environmental benefit from any release.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H07,Deliver the largest increase in social and affordable housing in a generation by strengthening planning obligations and reforming the Affordable Homes Programme.,not started,0,implemented,100,8,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H08,Prioritise new social rented homes and review Right to Buy discounts to protect social housing stock.,not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H09,Give first-time buyers priority access to new housing developments and restrict bulk sales of new homes to international investors.,not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H10,Launch a permanent mortgage guarantee scheme for first-time buyers with small deposits.,not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H11,Abolish Section 21 no-fault evictions and extend Awaab's Law to the private rented sector.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H12,Give renters a legal right to challenge unreasonable rent increases.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H13,Enact Law Commission leasehold reforms; ban new leasehold flats and make commonhold the default tenure.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H14,Cap or ban unaffordable ground rents and end unfair 'fleecehold' maintenance charges on private estates.,implemented,100,implemented,100,7,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H15,Develop a cross-government homelessness strategy with Mayors and Councils to end homelessness.,not started,0,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H16,"Accelerate cladding remediation and ensure building safety costs fall on developers, not leaseholders.",not started,0,implemented,100,6,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H17,Require Combined and Mayoral Authorities to produce strategic housing growth plans and give them new planning powers.,implemented,100,implemented,100,5,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
H18,"Reform compulsory purchase rules so landowners receive fair value, not inflated hope value, enabling faster land assembly for housing.",implemented,100,implemented,100,6,"Evidence contains strong implementation-related terms such as legislation, law, act, or enacted.",2026-06-10
